"","text"
"2926","   visas revoked   travel ban  "
"2927","rt   called president    control  mediadont worry       america  ag "
"2928","rt  viral video fan  video celebrates president  win    president trumptrain maga gotrump "
"2929","rt   twitter rally rt    support  djt  sunday feb th  super bowl half time   "
"2930","  jr stumbled  trying    mark   business world "
"2931","rt      clever   stupid slogan mine       mega starting   impeachment "
"2932","rt   wa   district  appellate dockets   "
"2933","rt   anoint  dame   services  literature charity  throwing   epic shade   suppo "
"2934","rt  disgusting     wont   praise putin comparing     dictator     murders "
"2935","        double agentthanks putin"
"2936","rt  thanks george  bush   judges  upheld obamacare  halted president  travel ban   wonder   "
"2937","rt  timely     crazy   day yesterday    dont    wrong   people "
"2938","rt    times        mat  putin    admit    admiration"
"2939","rt      walked    daytoday   empire  records   close  remains   "
"2940","rt  fox interview  oreilly hes  killer putins  killer      lot  killers      "
"2941"," tell    america   dump bannon"
"2942"," people mention   jr   theyre talking     ego    kids   ivanka"
"2943","rt  breaking washington  judge halts  immigration ban nationwide  "
"2944","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"2945","rt   upset    saying   america   innocent     obama repeatedly apologized  america"
"2946","rt    jr faved  tweet    sr    political boost  quebec killer  muslim "
"2947","rt  biggest  hypocrite   world shumer   resign trumptrain   "
"2948","village itd  wrong  kill   redmond omg  condemn "
"2949","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"2950","rt  melissa mccarthy skewers sean spicer baldwin reprises  role bannon portrayed  grim reaper  snl "
"2951","rt  journalists   google  repeated attacks       propaganda ministerand airpublish  "
"2952","rt   left   derangement syndrome  bad isis  announce  date   send soldiers  theyd   borders wide "
"2953","rt       unite  people  true   word     uniting  impeachtrumpnow   trea "
"2954","rt   politicians  repeatedly oppose    george soros payroll    makes sense  maga "
"2955","rt   trust president  set   address conflicts  records   remains closely tied   empire "
"2956","rt  feels   tweet            "
"2957","rt      moral par  putins russia   history   president slandered  country    "
"2958","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"2959","rt  snl goes     melissa mccarthy  sean spicer "
"2960","rt  sorry   youre  andrew jackson "
"2961","rt        bitch  president   pack  amp  move    country"
"2962","    constitution   piece  paper    godlike figure    fix america"
"2963","rt   republicans wont rein     judiciary   "
"2964","rt   honor  kristen stewart hosting snl      tweets president  posted     past "
"2965","rt  saturdaynightlive snl lampoons steve bannon  grim reaper    little white bitch "
"2966"," shared  fake news story  fool americans   muslim ban via  "
"2967"," hair plugs     signs suggest  actions  taking  toll   brand via  "
"2968","rt     respect putin oreilly  hes  killer  weve   lot  killers      countrys  innocent"
"2969","rt  former coo  goldman standing   left shoulder   signed eo weakening doddfrank      fu "
"2970","rt   administrations request  immediate administrative stay denied "
"2971","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"2972","rt   federal appeals court denied   governments initial request  resume president   travel ban "
"2973","rt  breakingtrump defends putins murder  journalists  oreilly  trumprussia dworkinreport resist theresistance "
"2974","rt   avalanche  phone calls  thundering  capitol hill   senate considers   nominations "
"2975","rt  kristen mocked       gay  snl monologue    fave "
"2976","rt       fans theresistance indivisible impeachmentsoon "
"2977","rt      mean   american people sending  message louder   "
"2978","rt     talk     dare   supporters    talk   challenge"
"2979","   dont understand     unabashed lying juxtaposed  truthtelling  implementing  campaign pledges"
"2980","rt  ken clarke brands uks position  shambles  worse    "
"2981","rt    disastrous yemen raid    attempt  getting dubai golf course built  via "
"2982","rt  breaking   travel ban remains suspended   th circuit denied  stay   earlier court  "
"2983","rt  antitrump protestors start walking  maralago       people   crowd "
"2984","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"2985","rt           trips   properties generate income   president  kids di "
"2986","rt  dresslikeawoman     "
"2987","rt  whoa look   found   judge  blocked  travel ban  "
"2988","rt  heres  ladygaga wont  mentioning    superbowl pepsihalftime  performance "
"2989","rt  trust records     closely tied   empire "
"2990","   racists rev jeremiah wright   moral clarity boy      shrink oreillyfactor  goprip resist "
"2991","rt  focus    day  win  house   hold  accountable "
"2992","superbowl islamocrats   hello   america presidenttrump keeptheban deportillegals noradicalislaminamerica pepsihalftime "
"2993","kurtz unnamed sources try  undermine   via  traitors"
"2994","rt  breaking appeals court denies request  immediate stay  tro  travel ban  stay  hold   "
"2995","rt  poll   worst disapproval rating   newly elected president  "
"2996","rt  appeals court wont immediately restore  travel ban calls  quick briefing "
"2997","ua thousands attend rally  stonewall monument  protest   "
"2998"," ok   didnt  select saudi arabia   travel ban"
"2999","rt      understand   quotes  evil refugees  evil  muslim refugees   bigotry thats pretty evil"
"3000","rt     ownership   failed  eo decisiontrump   claiming  travel ban   department  homeland security decision"
"3001","rt   business    sent   terrorists "
"3002","rt     america   exceptional   americalast"
"3003","rt      excusing putins atrocities  suggesting america  guilty  doesnt outrage   "
"3004","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"3005","rt   pray  happens   mean time  keepamericasafe "
"3006","rt  updates antitrump protesters march  west palm beach  "
"3007","rt  exhibit  planned  build hotel  russia    dworkinreport resistance trumprussia resist "
"3008","rt    tweeted  th tweet   day   travel banmaybe        phone "
"3009","rt   rn waiting    tweetstorm snl "
"3010","rt  appeals court rejects  request  restore immigration ban  "
"3011","    americas honor     flush   toilet       "
"3012","rt     weeks   silver lining    presidency reveals  "
"3013"," enemies  "
"3014","  cnn  helped   klan   youre getting  taste   villainous rhetoric amp  actions"
"3015","rt  bizarre readout  trumpporoshenko call   conflict   border dispute  russia  ukraine "
"3016","rt   top read  morning  story  hamtramck michigans ellis island    steeling    "
"3017","seven  obama  trying  sabotage   administration   teaparty tcot"
"3018","rt  exhibit  planned  build hotel  russia    dworkinreport resistance trumprussia resist "
"3019","rt   set  narrative straight   theyre  antitrump protestors theyre antiamerican rioters "
"3020","rt    oppose   please rt               gethimout"
"3021","rt       revelation judge  halted  ban  declared black lives matter   bench "
"3022","rt    travel ban  court denies justice departments appeal  hours  president expresses confidence "
"3023","rt     learn    truth stated  washington ag bob ferguson      law  eve "
"3024","rt  sunday reading    steve bannon  ideologist   entire world  via "
"3025","rt   ban   hold  bigger story    real test    institutions  restrain trum "
"3026","rt      remarks isnt   insult     implication hed   real barrier  applying putins methods"
"3027","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"3028","  dangerous enemies  people  ostensibly    "
"3029","      conclude   hundred monkeys metaphor      apply   utterings"
"3030","rt  rt       impeached         impeached"
"3031","rt  amazing diversity   senior staff  sworn  white    heights tie colors  "
"3032","rt   ive    day im tired amp  cranky amp  feel     freak    bannon  maybe  "
"3033","rt  key  ally   constructive feedback gt  "
"3034","rt   morning    th day   violates  constitutions emoluments clause amp   th day paul rya "
"3035","rt  rt   boys kissing     "
"3036","rt   avalanche  phone calls  thundering  capitol hill   senate considers   nominations "
"3037","rt   sort  supposed president   bearer   victoria cross interrogated   hours   "
"3038","rt      supporters   "
"3039","huffington post justice department appeals  blocking  travel ban    "
"3040","rt  former visa officer    correct obamas dont bother checking vetting system   "
"3041","rt    appeal  judges travel ban decision denied  federal court "
"3042","rt  kristen stewart taking      homophobes       saved  play    funeral "
"3043","rt  alec baldwins     snl prepare    war "
